Full Name,Nationality,NRIC,Passport No. ,New Student Matric/ID No. , Level of study,State,Location,Internet Coverage Rate,Telco, Income ,Access,,,,,,,,,,,,,,
,Malaysian,,,4785,Undergraduate,Kedah,Outskirts,Moderate (60% - 79%),TM,243555,Yes,,,,,,,,,,,,,,
,Malaysian,,,4786,Undergraduate,Perak,Small town,Moderate (60% - 79%),TM,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4787,Undergraduate,Selangor,Small town,Strong (80% -90%),Digi,1234,Yes,,,,,,,,,,,,,,
,Malaysian,,,4788,Undergraduate,Kedah,Small town,Very poor (0%-39%),TM,T20,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4789,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),TuneTalk,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4790,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Digi,6786,NA,,,,,,,,,,,,,,
,Malaysian,,,4791,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4792,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4793,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Digi,5789,Yes,,,,,,,,,,,,,,
,Malaysian,,,4794,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,4557,Yes,,,,,,,,,,,,,,
,Malaysian,,,4795,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4796,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UMobile,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4797,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4798,Undergraduate,Selangor,Small town,Moderate (60% - 79%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4799,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4800,Undergraduate,Selangor,Small town,Very strong (91% - 100%),Digi,B40,NA,,,,,,,,,,,,,,
,Malaysian,,,4801,Undergraduate,Johor,Outskirts,Moderate (60% - 79%),Digi,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4802,Undergraduate,Negeri Sembilan,City centre,Very poor (0%-39%),TuneTalk,3445,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4803,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),Digi,2345,Yes,,,,,,,,,,,,,,
,Malaysian,,,4804,Undergraduate,Perak,City centre,Moderate (60% - 79%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4805,Undergraduate,Kelantan,City centre,Poor (40%-59%),UMobile,5599,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4806,Undergraduate,Selangor,City centre,Very strong (91% - 100%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4807,Undergraduate,Selangor,Small town,Strong (80% -90%),TM,3463,Yes,,,,,,,,,,,,,,
,Malaysian,,,4808,Undergraduate,Pahang,Outskirts,Strong (80% -90%),ONEXOX,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4809,Undergraduate,NA,NA,Strong (80% -90%),RedOne,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4810,Undergraduate,Selangor,Small town,Moderate (60% - 79%),Hotlink,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4811,Undergraduate,Selangor,Small town,Very strong (91% - 100%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4812,Undergraduate,Kedah,Outskirts,Moderate (60% - 79%),TuneTalk,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4813,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),RedOne,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4814,Undergraduate,Melaka,NA,Moderate (60% - 79%),NA,4564,Yes,,,,,,,,,,,,,,
,Malaysian,,,4815,Undergraduate,Selangor,City centre,Strong (80% -90%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4816,Undergraduate,Selangor,City centre,Very strong (91% - 100%),TM,1200,NA,,,,,,,,,,,,,,
,Malaysian,,,4817,Undergraduate,Pulau Pinang,Small town,Strong (80% -90%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4818,Undergraduate,Selangor,City centre,Poor (40%-59%),Celcom,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4819,Undergraduate,Perak,Outskirts,Poor (40%-59%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4820,Undergraduate,Selangor,City centre,Strong (80% -90%),Celcom,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4821,Undergraduate,Selangor,Small town,Moderate (60% - 79%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4822,Undergraduate,Johor,Small town,Strong (80% -90%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4823,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4824,Undergraduate,Selangor,City centre,Moderate (60% - 79%),TuneTalk,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4825,Undergraduate,Melaka,Outskirts,Strong (80% -90%),RedOne,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4826,Undergraduate,Selangor,Small town,Moderate (60% - 79%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4827,Undergraduate,Selangor,City centre,Strong (80% -90%),Maxis,4564,Yes,,,,,,,,,,,,,,
,Malaysian,,,4828,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),TIME,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4829,Undergraduate,Perak,Outskirts,Poor (40%-59%),Digi,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4830,Undergraduate,Wilayah Persekutuan-UM,City centre,Strong (80% -90%),Digi,6786,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4831,Undergraduate,Selangor,City centre,Moderate (60% - 79%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4832,Undergraduate,Selangor,Small town,Very strong (91% - 100%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4833,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Yoodo,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4834,Undergraduate,Selangor,Small town,Very strong (91% - 100%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4835,Undergraduate,Wilayah Persekutuan,Small town,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4836,Undergraduate,Perak,City centre,Very strong (91% - 100%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4837,Undergraduate,Selangor,City centre,Strong (80% -90%),Celcom ,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4838,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),UMobile,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4839,Undergraduate,Perlis,Small town,Strong (80% -90%),Maxis,M40,NA,,,,,,,,,,,,,,
,Malaysian,,,4840,Undergraduate,Selangor,Small town,Moderate (60% - 79%),TM,2066,No,,,,,,,,,,,,,,
,Malaysian,,,4841,Undergraduate,Selangor,Small town,Strong (80% -90%),RedOne,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4842,Undergraduate,Selangor,Outskirts,Poor (40%-59%),Maxis,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4843,Undergraduate,Selangor,Outskirts,Strong (80% -90%),MAXIS,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4844,Undergraduate,Selangor,City centre,Strong (80% -90%),UMobile,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4845,Undergraduate,Melaka,Outskirts,Moderate (60% - 79%),RedOne,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4846,Undergraduate,Selangor,City centre,Strong (80% -90%),TM,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4847,Undergraduate,Selangor,City centre,Very poor (0%-39%),Celcom,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4848,Undergraduate,Melaka,Small town,Strong (80% -90%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4849,Undergraduate,Selangor,City centre,Moderate (60% - 79%),Digi,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4850,Undergraduate,Wilayah Persekutuan-UM,City centre,Strong (80% -90%),Hotlink,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4851,Undergraduate,Johor,Outskirts,Strong (80% -90%),TuneTalk,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4852,Undergraduate,Selangor,Small town,Strong (80% -90%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4853,Undergraduate,Perak,Outskirts,Poor (40%-59%),Maxis,B40,No,,,,,,,,,,,,,,
,Non Malaysian,,,4854,Undergraduate,Outside Malaysia,Outside Malaysia,Poor (40%-59%),Digi,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4855,Undergraduate,Kedah,Outskirts,Strong (80% -90%),Maxis,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4856,Undergraduate,NA,NA,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4857,Undergraduate,Selangor,City centre,Strong (80% -90%),Maxis,1765,Yes,,,,,,,,,,,,,,
,Malaysian,,,4858,Undergraduate,Melaka,Outskirts,Strong (80% -90%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4859,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4860,Undergraduate,Selangor,Small town,Strong (80% -90%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4861,Undergraduate,Johor,Small town,Strong (80% -90%),RedOne,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4862,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),TM,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4863,Undergraduate,Selangor,City centre,Strong (80% -90%),TIME,8644,Yes,,,,,,,,,,,,,,
,Malaysian,,,4864,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Celcom,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4865,Undergraduate,Selangor,Outskirts,Moderate (60% - 79%),Maxis,T20,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4866,Undergraduate,Pahang,Small town,Very strong (91% - 100%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4867,Undergraduate,Selangor,Small town,Strong (80% -90%),TM,3844,Yes,,,,,,,,,,,,,,
,Malaysian,,,4868,Undergraduate,Selangor,City centre,Moderate (60% - 79%),Celcom,T20,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4869,Undergraduate,Pulau Pinang,Outskirts,Moderate (60% - 79%),Telekom,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4870,Undergraduate,Negeri Sembilan,Outskirts,Very strong (91% - 100%),TM,b40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4871,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4872,Undergraduate,Selangor,City centre,Strong (80% -90%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4873,Undergraduate,Selangor,Small town,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4874,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4875,Undergraduate,Wilayah Persekutuan,City centre,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4876,Undergraduate,Kedah,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4877,Undergraduate,Selangor,City centre,Very poor (0%-39%),NA,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4878,Undergraduate,Selangor,Small town,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4879,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4880,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4881,Undergraduate,Terengganu,Outskirts,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4882,Undergraduate,Perak,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4883,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4884,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4885,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4886,Undergraduate,Selangor,Outskirts,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4887,Undergraduate,Kedah,Small town,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4888,Undergraduate,Terengganu,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4889,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4890,Undergraduate,Melaka,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4891,Undergraduate,Selangor,City centre,Very poor (0%-39%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4892,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4893,Undergraduate,Kelantan,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4894,Undergraduate,Outside Malaysia,City centre,Very poor (0%-39%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4895,Undergraduate,Selangor,Small town,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4896,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4897,Undergraduate,Terengganu,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4898,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4899,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4900,Undergraduate,Perak,Outskirts,Very poor (0%-39%),NA,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4901,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4902,Undergraduate,Melaka,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4903,Undergraduate,Selangor,Small town,Very poor (0%-39%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4904,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4905,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4906,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4907,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4908,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4909,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Non Malaysian,,,4910,Undergraduate,Wilayah Persekutuan,City centre,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4911,Undergraduate,Pulau Pinang,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4912,Undergraduate,Selangor,Small town,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4913,Undergraduate,Johor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4914,Undergraduate,Pulau Pinang,Small town,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4915,Undergraduate,Perak,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4916,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4917,Undergraduate,Selangor,Small town,Very poor (0%-39%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4918,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4919,Undergraduate,Kedah,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4920,Undergraduate,Pulau Pinang,Small town,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4921,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4922,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4923,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4924,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4925,Undergraduate,Melaka,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4926,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4927,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4928,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4929,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4930,Undergraduate,Johor,Outskirts,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4931,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4932,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4933,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4934,Undergraduate,Pulau Pinang,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4935,Undergraduate,Wilayah Persekutuan,City centre,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4936,Undergraduate,Negeri Sembilan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4937,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4938,Undergraduate,Kedah,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4939,Undergraduate,Kelantan,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4940,Undergraduate,Johor,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4941,Undergraduate,Melaka,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4942,Undergraduate,Pulau Pinang,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4943,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4944,Undergraduate,Selangor,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4945,Undergraduate,Melaka,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4946,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4947,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4948,Undergraduate,Sarawak,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4949,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4950,Undergraduate,Wilayah Persekutuan,City centre,Very poor (0%-39%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4951,Undergraduate,Negeri Sembilan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4952,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4953,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4954,Undergraduate,NA,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4955,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4956,Undergraduate,Pulau Pinang,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4957,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4958,Undergraduate,Pulau Pinang,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4959,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4960,Undergraduate,Kedah,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4961,Undergraduate,Perak,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4962,Undergraduate,Johor,Small town,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4963,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4964,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4965,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4966,Undergraduate,Pulau Pinang,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4967,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4968,Undergraduate,Negeri Sembilan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4969,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4970,Undergraduate,Negeri Sembilan,Small town,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4971,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4972,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4973,Undergraduate,Sabah,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4974,Undergraduate,Kedah,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4975,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4976,Undergraduate,Perak,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4977,Undergraduate,Selangor,Outskirts,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4978,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4979,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4980,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4981,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4982,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4983,Undergraduate,Negeri Sembilan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4984,Undergraduate,Wilayah Persekutuan-UM,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4985,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4986,Undergraduate,Selangor,Small town,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4987,Undergraduate,Wilayah Persekutuan-UM,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4988,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4989,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4990,Undergraduate,Selangor,Small town,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4991,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4992,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
